,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
42,0,Rysher Entertainment,USA,John Herzfeld,Comedy,11114000,2 Days in the Valley,R,3/21/86,104,6.5,Teri Hatcher,16403,John Herzfeld,1996,0.0,0.0,6.5,6.3,6.3,6.1657692307692304,6.453213443396231,6.216789819376035,6.242857142857143,0.0,1.0,1.0,0.0
43,76000000,Universal Pictures,USA,John Singleton,Action,127154901,2 Fast 2 Furious,PG-13,3/26/86,107,5.9,Paul Walker,211309,Gary Scott Thompson,2003,0.0,0.0,5.942857142857143,6.4,5.925,6.1060856498873015,6.254035087719299,6.216789819376035,6.396357615894037,0.0,1.0,1.0,0.0
44,61000000,Universal Pictures,USA,Baltasar Kormákur,Action,75612460,2 Guns,R,3/28/86,109,6.7,Denzel Washington,168840,Blake Masters,2013,0.0,0.0,6.891666666666667,6.766666666666666,6.7,6.1060856498873015,6.453213443396231,6.216789819376035,6.396357615894037,0.0,1.0,1.0,0.0
45,6000000,Dogstar Films,USA,Risa Bramon Garcia,Comedy,6851636,200 Cigarettes,R,3/28/86,101,5.9,Ben Affleck,13466,Shana Larsen,1999,0.0,0.0,6.3,5.9,5.9,6.1657692307692304,6.453213443396231,6.216789819376035,6.050000000000001,0.0,1.0,1.0,0.0
46,7000000,A24,USA,Mike Mills,Comedy,5663855,20th Century Women,R,3/28/86,119,7.4,Annette Bening,20814,Mike Mills,2016,0.0,1.0,6.75,7.066666666666667,7.300000000000001,6.1657692307692304,6.453213443396231,6.216789819376035,7.45,0.0,1.0,2.0,0.0
47,13000000,Relativity Media,USA,Jon Lucas,Comedy,25682380,21 & Over,R,3/28/86,93,5.9,Miles Teller,64737,Jon Lucas,2013,0.0,0.0,6.5,6.050000000000001,6.3999999999999995,6.1657692307692304,6.453213443396231,6.216789819376035,6.1125,0.0,1.0,1.0,0.0
48,20000000,This Is That Productions,USA,Alejandro González Iñárritu,Crime,16248701,21 Grams,R,4/2/86,124,7.7,Sean Penn,200427,Guillermo Arriaga,2003,0.0,2.0,6.637499999999999,7.766666666666667,7.5,6.756321839080459,6.453213443396231,6.216789819376035,6.766666666666667,0.0,1.0,3.0,0.0
49,42000000,Columbia Pictures,USA,Phil Lord,Action,138447667,21 Jump Street,R,4/4/86,110,7.2,Jonah Hill,441919,Michael Bacall,2012,0.0,0.0,6.6,7.275,7.300000000000001,6.1060856498873015,6.453213443396231,6.216789819376035,6.315740740740743,0.0,1.0,1.0,0.0
50,50000000,Columbia Pictures,USA,Phil Lord,Action,191719337,22 Jump Street,R,4/11/86,112,7.1,Channing Tatum,288814,Michael Bacall,2014,0.0,0.0,6.12,7.275,7.300000000000001,6.1060856498873015,6.453213443396231,6.216789819376035,6.315740740740743,0.0,1.0,1.0,0.0
51,0,Revolution Films,UK,Michael Winterbottom,Biography,1130379,24 Hour Party People,R,4/11/86,117,7.4,Steve Coogan,28543,Frank Cottrell Boyce,2002,0.0,0.0,6.775,6.5,6.9,7.040389972144843,6.453213443396231,6.660601719197714,6.15,0.0,1.0,1.0,0.0
52,5000000,25th Hour Productions,USA,Spike Lee,Drama,13060843,25th Hour,R,4/11/86,135,7.7,Edward Norton,156154,David Benioff,2002,0.0,0.0,7.116666666666666,6.555555555555554,7.200000000000001,6.715720221606655,6.453213443396231,6.216789819376035,7.7,0.0,1.0,1.0,0.0
53,30000000,Fox 2000 Pictures,USA,Anne Fletcher,Comedy,76808654,27 Dresses,PG-13,4/18/86,111,6.1,Katherine Heigl,133431,Aline Brosh McKenna,2008,0.0,0.0,5.900000000000001,6.04,6.4799999999999995,6.1657692307692304,6.254035087719299,6.216789819376035,6.270689655172415,0.0,1.0,1.0,0.0
54,43000000,Columbia Pictures Corporation,USA,Betty Thomas,Comedy,37170488,28 Days,PG-13,4/18/86,103,6.0,Sandra Bullock,37015,Susannah Grant,2000,0.0,0.0,5.942857142857143,5.671428571428572,6.3571428571428585,6.1657692307692304,6.254035087719299,6.216789819376035,6.265060240963854,0.0,1.0,1.0,0.0
55,8000000,DNA Films,UK,Danny Boyle,Drama,45064915,28 Days Later...,R,4/18/86,113,7.6,Cillian Murphy,320108,Alex Garland,2002,0.0,0.0,7.3199999999999985,7.281818181818181,7.533333333333334,6.715720221606655,6.453213443396231,6.660601719197714,7.3,0.0,1.0,1.0,0.0
56,15000000,Fox Atomic,UK,Juan Carlos Fresnadillo,Drama,28638916,28 Weeks Later,R,4/18/86,100,7.0,Jeremy Renner,225731,Rowan Joffe,2007,0.0,0.0,6.666666666666667,6.433333333333334,6.533333333333334,6.715720221606655,6.453213443396231,6.660601719197714,5.4222222222222225,0.0,1.0,1.0,0.0
57,0,3B Productions,France,Bruno Dumont,Drama,54523,29 palmas - Pasiones salvajes,UNRATED,4/18/86,114,5.2,Yekaterina Golubeva,3679,Bruno Dumont,2003,0.0,0.0,6.1,6.050000000000001,6.050000000000001,6.715720221606655,6.798591549295779,6.8533568904593585,6.050000000000001,0.0,1.0,1.0,0.0
58,0,JVC Entertainment Networks,USA,George Gallo,Comedy,2120564,29th Street,R,4/25/86,101,7.3,Anthony LaPaglia,2157,Frank Pesce,1991,0.0,0.0,7.1000000000000005,6.599999999999999,7.3,6.1657692307692304,6.453213443396231,6.216789819376035,6.975,0.0,1.0,1.0,0.0
59,28000000,EuropaCorp,USA,McG,Action,30697999,3 Days to Kill,PG-13,4/25/86,117,6.2,Kevin Costner,75138,Adi Hasak,2014,0.0,0.0,6.853846153846154,6.083333333333333,5.866666666666667,6.1060856498873015,6.254035087719299,6.216789819376035,6.307142857142857,0.0,1.0,1.0,0.0
60,5000000,Big Beach Films,USA,Gaby Dellal,Drama,66371,3 Generations,PG-13,5/2/86,92,5.6,Naomi Watts,2608,Nikole Beckwith,2015,0.0,0.0,6.6,5.6,5.6,6.715720221606655,6.254035087719299,6.216789819376035,6.3999999999999995,0.0,1.0,1.0,0.0
61,0,Vinod Chopra Productions,India,Rajkumar Hirani,Adventure,6532908,3 Idiots,PG-13,5/2/86,170,8.4,Aamir Khan,250762,Rajkumar Hirani,2009,0.0,0.0,8.044444444444444,8.3,8.3,6.354846938775506,6.254035087719299,7.682051282051282,8.4,0.0,1.0,1.0,0.0
