,movie score,budget,gross,runtime,votes,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Total Nominations,Total Awards
151,6.1,36000000,26183197,109,40381,6.476923076923076,6.9375,6.1,6.1060856498873015,6.453213443396231,6.216789819376035,6.1,1.0,0.0
152,5.8,0,949451,125,442,6.166666666666668,6.05,6.05,6.715720221606655,6.453213443396231,6.853356890459359,6.3,1.0,0.0
153,6.7,0,544538,125,3659,6.591666666666668,6.7,6.7,6.715720221606655,6.453213443396231,6.216789819376035,6.85,1.0,0.0
154,7.2,5000000,1526697,108,7365,6.6000000000000005,6.7200000000000015,6.7,6.715720221606655,6.453213443396231,6.216789819376035,6.575,1.0,0.0
155,6.5,11000000,16071990,116,22127,6.6,6.5,6.95,6.1657692307692304,6.2540350877192985,6.6606017191977145,6.817543859649125,5.0,2.0
156,7.3,0,346839,99,2095,7.3,6.95,7.3,6.1657692307692304,6.453213443396231,6.6606017191977145,6.4129032258064536,1.0,0.0
157,6.7,16000000,9176787,108,24917,6.433333333333334,6.5,6.866666666666667,7.040389972144843,6.453213443396231,6.216789819376035,7.045454545454546,1.0,0.0
158,7.3,0,17508936,91,23253,7.449999999999998,6.9,7.466666666666666,6.1657692307692304,6.2540350877192985,6.216789819376035,6.4129032258064536,2.0,0.0
159,6.1,40000000,43139300,116,147947,6.1,6.466666666666666,6.466666666666666,6.1657692307692304,6.453213443396231,6.216789819376035,6.675000000000002,1.0,0.0
160,7.5,43000000,3730982,108,49969,7.5,7.533333333333334,7.5,6.715720221606655,6.2540350877192985,6.6606017191977145,7.5,1.0,0.0
161,6.4,0,2196534,92,1897,6.6,6.1,6.4,6.1657692307692304,6.143007360672983,6.6606017191977145,6.4,1.0,0.0
162,7.2,0,443524,96,1038,6.925,6.2285714285714295,7.2,6.715720221606655,6.143007360672983,6.6606017191977145,6.988888888888887,1.0,0.0
163,7.0,20000000,5740310,125,52607,7.25,7.0,7.0,6.756321839080459,6.453213443396231,6.216789819376035,7.0,1.0,0.0
164,6.8,15000000,17237244,122,62647,7.06,6.933333333333334,6.833333333333332,6.756321839080459,6.453213443396231,6.6606017191977145,6.052272727272729,1.0,0.0
165,6.2,17000000,30324946,82,50769,5.4,5.15,5.7200000000000015,6.1657692307692304,6.2540350877192985,6.216789819376035,5.916666666666668,1.0,0.0
166,5.5,0,6264058,90,2177,6.82,5.5,5.5,6.1657692307692304,6.453213443396231,6.216789819376035,6.0,1.0,0.0
167,5.2,35000000,63075011,95,79930,6.4,5.2,5.9,5.68700361010831,6.453213443396231,6.216789819376035,6.145348837209303,1.0,0.0
168,6.6,4500000,44793222,96,55414,6.5,6.099999999999999,5.6000000000000005,6.1060856498873015,6.453213443396231,6.216789819376035,6.145348837209303,1.0,0.0
169,5.7,13000000,49369899,93,39701,5.166666666666667,5.66,5.6000000000000005,5.68700361010831,6.453213443396231,6.216789819376035,6.145348837209303,1.0,0.0
170,5.1,6000000,22168359,89,32517,5.166666666666667,6.025000000000001,5.6000000000000005,5.775,6.453213443396231,6.216789819376035,6.145348837209303,1.0,0.0
171,6.5,14000000,15483540,98,59667,5.93,6.533333333333332,5.914285714285714,6.354846938775506,6.453213443396231,6.216789819376035,5.866666666666667,1.0,0.0
172,6.5,60000000,67638368,107,68263,6.74705882352941,6.477777777777778,6.5,6.756321839080459,6.453213443396231,6.216789819376035,6.3843537414965965,1.0,0.0
173,7.5,30000000,31160784,138,61676,6.853846153846153,7.154166666666665,7.6,6.756321839080459,6.2540350877192985,6.216789819376035,6.3843537414965965,1.0,0.0
174,7.9,0,100986,120,1880,7.9,7.9,7.9,6.715720221606655,6.143007360672983,7.338461538461537,5.905882352941176,2.0,0.0
175,6.4,6000000,1432687,107,3731,6.358333333333333,6.5,6.4,6.1060856498873015,6.453213443396231,6.6606017191977145,6.166666666666668,1.0,0.0
176,7.9,0,2084637,155,83124,7.9,7.6,7.9,6.756321839080459,6.453213443396231,6.853356890459359,7.7,2.0,0.0
177,7.8,0,202458,108,7749,6.736363636363635,7.8,7.75,6.756321839080459,6.2540350877192985,6.958823529411763,7.159999999999998,1.0,0.0
178,5.9,8000000,10438504,100,1581,6.95,6.125,5.9,6.1657692307692304,6.453213443396231,6.6606017191977145,6.24,1.0,0.0
179,7.3,0,43440294,123,44727,6.45,6.8125,7.3,6.715720221606655,6.143007360672983,6.216789819376035,6.1800000000000015,1.0,0.0
180,7.7,0,18434,90,4755,7.7,7.7,7.7,6.1657692307692304,6.453213443396231,6.6606017191977145,6.9,1.0,0.0
181,7.6,0,1546761,137,37338,7.533333333333334,7.6,7.6,7.040389972144843,6.453213443396231,7.13939393939394,7.254545454545454,2.0,0.0
182,7.1,8700000,5501616,100,94464,6.537499999999999,7.14705882352941,6.866666666666666,6.746931407942238,6.453213443396231,6.216789819376035,7.400000000000001,1.0,0.0
